ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"182.16.175.171","elite","AS17995","ID","SOLUSINET","338","N/A","5678","socks4","3003","2","2024-05-23T05:50:06.603Z","95","194","205"
"109.224.22.36","elite","AS203214","IQ","EarthLink Telecommunications-Subscribers","89","EarthLink Ltd. Communications&","51372","socks4","3099","1","2024-05-23T05:50:06.595Z","98","201","206"
"159.75.84.25","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","202","Tencent Cloud Computing (Beijing) Co., Ltd","9091","socks5","72","1","2024-05-23T05:50:06.625Z","12","845","7107"
"182.16.171.65","elite","AS17995","ID","PT iForte Global Internet","335","N/A","51459","socks4","193","1","2024-05-23T05:50:06.622Z","93","382","409"
"131.0.246.113","elite","N/A","BR","supercore tecnologia e informatica eirelli","192","N/A","4153","socks4","1215","2","2024-05-23T05:49:58.295Z","100","410","411"
"117.94.221.78","elite","AS4134","CN","Chinanet","286","Chinanet JS","1080","socks5","69","1","2024-05-23T05:49:58.290Z","75","5288","7070"
"103.47.93.245","elite","AS134058","IN","Broban Internet Services Pvt.ltd","197","Broban  PVT Ltd.","1080","socks4","1627","2","2024-05-23T05:49:58.396Z","99","7074","7138"
"45.235.148.5","elite","AS268202","BR","F R BRAGA INFORMATICA ME","202","F R BRAGA INFORMATICA ME","3629","socks4","1277","1","2024-05-23T05:49:58.599Z","99","7108","7161"
"106.15.193.237","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","205","Aliyun Computing Co., LTD","8088","socks4","70","2","2024-05-23T05:49:58.293Z","84","5988","7089"
"47.242.34.83","elite","AS45102","HK","Alibaba.com LLC","308","Hong Kong","443","socks4","4987","1","2024-05-23T05:49:58.398Z","99","6993","7043"
"103.137.108.86","elite","AS138023","BD","Creation Online","177","Creation Online","5678","socks5","2007","1","2024-05-23T05:49:51.401Z","89","6318","7092"
"188.114.99.37","elite","AS13335","US","Cloudflare, Inc.","2","CloudFlare, Inc.","80","socks4","3694","2","2024-05-23T05:49:51.011Z","100","7028","7032"
"14.115.106.116","elite","AS4134","CN","Chinanet","204","Chinanet GD","3629","socks4","71","1","2024-05-23T05:49:51.104Z","57","4020","7064"
"43.153.81.208","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","192","Tencent Cloud Computing","443","socks5","5115","1","2024-05-23T05:49:51.107Z","84","5964","7067"
"193.70.113.238","elite","AS16276","FR","OVH SAS","8","OVH","18545","socks5","72","2","2024-05-23T05:49:51.411Z","100","7110","7110"
"103.211.8.189","elite","AS135691","IN","Cloudlasers Broadband","154","N/A","44581","socks4","558","1","2024-05-23T05:49:51.413Z","99","7113","7164"
